Class,Order,Family,Species,ED,RL Category,GE,EDGE,EDGE Rank,Distribution,RL Synonym,Median ED
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus palawanensis,7.452348608,CR,4,4.907033067,70,Philippines,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas tansachana,7.443504324,CR,4,4.905986149,71,Thailand,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Cedrus libani,32.46187857,VU,2,4.896701199,72,"Cyprus, Lebanon, Syrian Arab Republic, Turkey",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus costaricensis,7.331488408,CR,4,4.892630843,73,Costa Rica,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Larix mastersiana,15.49338106,EN,3,4.882400694,74,China,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Retrophyllum minus,14.99820603,EN,3,4.851918135,75,New Caledonia,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos latifrons,6.950607308,CR,4,4.845837039,76,South Africa,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas curranii,6.867944389,CR,4,4.835385555,77,Philippines,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos cupidus,6.86412537,CR,4,4.834900047,78,South Africa,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Encephalartos middelburgensis,6.86412537,CR,4,4.834900047,78,South Africa,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Cephalotaxus oliveri,30.4160366,VU,2,4.833612843,80,China,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia pygmaea,6.843762141,CR,4,4.832307306,81,Cuba,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas wadei,6.811802732,CR,4,4.828224483,82,Philippines,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas fugax,6.737745048,CR,4,4.81869903,83,Viet Nam,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas zambalensis,6.705556267,CR,4,4.814530384,84,Philippines,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas hoabinhensis,13.92046554,EN,3,4.782175338,85,Viet Nam,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Pinus nelsonii,13.8941391,EN,3,4.780409328,86,Mexico,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Pseudotsuga sinensis,28.55419405,VU,2,4.772520026,87,"China, Taiwan, Province of China",NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Cephalotaxus griffithii,28.31999594,VU,2,4.7645641,88,"China, India, Lao People's Democratic Republic, Myanmar, Thailand, Viet Nam",Cephalotaxus mannii,6.677812022
GNETOPSIDA,GNETALES,GNETACEAE,Gnetum oxycarpum,12.63771082,EN,3,4.692280352,89,Indonesia,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Keteleeria evelyniana,26.07377789,VU,2,4.684860015,90,"China, Lao People's Democratic Republic, Viet Nam",NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Amentotaxus formosana,25.75084484,VU,2,4.672860417,91,"Taiwan, Province of China",NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon caputoi,12.14281633,EN,3,4.655316864,92,Mexico,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Thuja sutchuenensis,12.03126205,EN,3,4.646792785,93,China,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Ceratozamia robusta,11.94180417,EN,3,4.639904247,94,"Belize, Guatemala, Mexico",NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Picea aurantiaca,11.89552009,EN,3,4.636321513,95,China,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria biramulata,24.666714,VU,2,4.631489338,96,New Caledonia,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon califanoi,11.70498673,EN,3,4.621436114,97,Mexico,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus capuronii,11.62159124,EN,3,4.61485048,98,Madagascar,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Amentotaxus poilanei,24.14938484,VU,2,4.611127798,99,Viet Nam,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis lenticula,23.70635636,VU,2,4.593354914,100,Malaysia,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Fokienia hodginsii,23.69864861,VU,2,4.593042891,101,"China, Lao People's Democratic Republic, Viet Nam",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus hispaniolensis,11.22410877,EN,3,4.582851672,102,Dominican Republic,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon holmgrenii,11.22131031,EN,3,4.582622716,103,Mexico,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Torreya fargesii,23.31276937,VU,2,4.577296062,104,China,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis flavescens,23.26230645,VU,2,4.575218332,105,Malaysia,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Picea retroflexa,11.12410351,EN,3,4.574637038,106,China,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Amentotaxus yunnanensis,22.74703284,VU,2,4.553751951,107,"China, Lao People's Democratic Republic, Viet Nam",NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria bernieri,22.69544076,VU,2,4.551577018,108,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria schmidii,22.68161231,VU,2,4.550993256,109,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Torreya californica,22.4661287,VU,2,4.541852411,110,United States,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas multipinnata,10.72515263,EN,3,4.541177873,111,"China, Viet Nam",NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon sonorense,10.66367042,EN,3,4.53592046,112,Mexico,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis lanceolata,21.68332575,VU,2,4.507924467,113,New Caledonia,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas changjiangensis,10.33664862,EN,3,4.50748226,114,China,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis dammara,21.63498838,VU,2,4.505791229,115,"Indonesia, Philippines",NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Cupressus vietnamensis,10.21048386,EN,3,4.496290941,116,"China, Viet Nam",Xanthocyparis vietnamensis,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Dacrydium comosum,10.18611179,EN,3,4.494114532,117,Malaysia,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis moorei,21.27855975,VU,2,4.489919131,118,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria montana,21.27525068,VU,2,4.489770588,119,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Dacrydium pectinatum,10.00749019,EN,3,4.478017509,120,"Brunei Darussalam, China, Indonesia, Malaysia, Philippines",NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Taxus mairei,20.57761338,VU,2,4.457950721,121,"China, Taiwan, Province of China",NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas taitungensis,9.669014772,EN,3,4.446785266,122,"Taiwan, Province of China",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Dacrydium nausoriense,9.526954731,EN,3,4.433380627,123,Fiji,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Nageia maxima,9.381889359,EN,3,4.419504422,124,Malaysia,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas lindstromii,8.970437835,EN,3,4.37906604,125,Viet Nam,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Calocedrus formosana,8.941907206,EN,3,4.376200416,126,"Taiwan, Province of China",NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Calocedrus rupestris,8.821463206,EN,3,4.364011656,127,"China, Viet Nam",NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Callitris sulcata,8.58794103,EN,3,4.339947708,128,New Caledonia,NA,6.677812022
